id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
CLI_000030,Reina,Vargas,DNI,257079497,1962-11-05,2025-08-08 05:35:39,STD,620.0,Buenos Aires,CABA,Activo,Referido
CLI_000031,Barbara,Prado,CE,30123575,1997-04-03,2025-06-28 23:47:32,BAS,589.0,Bogotá,Cundinamarca,Activo,Referido
CLI_000032,Wilson,Calvillo,DNI,697346882,1974-12-27,2026-01-10 14:27:51,BAS,835.0,Santiago,Metropolitana,Activo,App
CLI_000033,Francisco,Guzmán,CE,903381017,1973-10-09,2025-10-05 03:03:31,STD,648.0,Buenos Aires,CABA,Activo,Campaña
CLI_000034,Isabel,Leiva,DNI,439979713,1961-06-14,2026-04-24 23:09:53,STD,544.0,Santiago,Metropolitana,Activo,Referido
CLI_000035,Margarita,Arteaga,CC,92011731,1964-11-28,2026-03-17 15:24:17,STD,732.0,Lima,Lima,Activo,Web
CLI_000036,Daniela,Reyes,DNI,889339361,2006-08-16,2026-05-18 19:48:42,STD,527.0,Lima,Lima,Activo,App
CLI_000037,Daniel,Rodríguez,DNI,174142683,2000-07-27,2025-07-27 20:57:32,STD,670.0,Ciudad de México,CDMX,Activo,Web
CLI_000038,Alexandra,Sánchez,DNI,825911873,1965-10-20,2026-03-28 03:27:58,STD,454.0,Santiago,Metropolitana,Activo,Referido
CLI_000039,Ricardo,Martínez,CC,482191734,1963-01-17,2026-05-02 15:21:52,BAS,517.0,Lima,Lima,Activo,Referido
CLI_000040,José,Báez,CE,554748834,1953-04-30,2026-04-06 06:19:50,BAS,669.0,Bogotá,Cundinamarca,Activo,App
CLI_000041,Rosario,Gollum,CC,702205349,1999-10-19,2025-06-23 02:15:13,PRM,723.0,Lima,Lima,Activo,Campaña
CLI_000042,Ricardo,Bonilla,CE,986084958,1957-05-16,2025-11-27 16:47:06,STD,667.0,Bogotá,Cundinamarca,Activo,Referido
CLI_000043,Ignacio,Martínez,CC,493745511,1988-07-19,2026-01-21 23:03:47,BAS,638.0,Ciudad de México,CDMX,Activo,Referido
CLI_000044,Yuridia,Cruz,CC,276012797,1965-10-29,2026-03-05 09:54:12,STD,619.0,Ciudad de México,CDMX,Bloqueado,Web
CLI_000045,Antonia,Santillán,CE,448912794,1950-12-17,2025-10-20 07:46:29,STD,502.0,Lima,Lima,Activo,App
CLI_000046,Alonso,Negrón,CC,364002758,1958-02-07,2026-04-03 12:07:41,BAS,578.0,Lima,Lima,Activo,Referido
CLI_000047,David,Urrutia,CC,367944766,1959-07-27,2025-09-06 20:46:15,BAS,603.0,Buenos Aires,CABA,Activo,Referido
CLI_000048,Cecilia,González,CC,648920648,2004-06-18,2025-09-29 11:34:09,STD,755.0,Santiago,Metropolitana,Activo,Campaña
CLI_000049,Georgina,Calderón,DNI,764658900,1993-06-25,2026-02-05 21:47:30,STD,684.0,Ciudad de México,CDMX,Activo,App
CLI_000050,José,Espitia,CE,29574893,1962-03-25,2026-02-06 21:23:15,BAS,473.0,Buenos Aires,CABA,Activo,Web
CLI_000051,Álvaro,Acosta,CC,253248743,1955-10-10,2025-10-11 17:10:34,ELT,682.0,Santiago,Metropolitana,Activo,Referido
CLI_000052,Cecilia,Caicedo,DNI,906703082,1995-02-23,2026-04-24 22:38:34,STD,611.0,Buenos Aires,CABA,Activo,Referido
CLI_000053,Antonio,Trejo,DNI,414499880,1982-12-14,2026-05-07 08:34:21,BAS,582.0,Ciudad de México,CDMX,Activo,Web
CLI_000054,Luis Manuel,Arguello,CE,736239153,1998-10-29,2026-03-08 01:54:45,STD,711.0,Santiago,Metropolitana,Inactivo,Referido
CLI_000055,Jorge,Haro,CC,583390109,1971-07-28,2026-03-20 04:47:38,BAS,753.0,Santiago,Metropolitana,Inactivo,Campaña
CLI_000056,Dairo,Granado,DNI,622483158,1970-12-07,2026-05-18 01:39:05,ELT,743.0,Lima,Lima,Activo,Referido
CLI_000057,Liliana,Duarte,CE,184008639,2007-01-15,2026-03-30 04:38:30,STD,566.0,Buenos Aires,CABA,Activo,Web
CLI_000058,Francisco,Jaramillo,CE,605433590,1995-10-19,2026-05-06 00:58:03,PRM,619.0,Santiago,Metropolitana,Activo,App
CLI_000059,Juana,Rodrígez,CE,492452834,1996-02-02,2025-09-19 16:58:47,PRM,683.0,Ciudad de México,CDMX,Activo,Campaña
CLI_000060,Judith,Garica,CE,959863985,1961-12-29,2025-07-06 14:49:56,BAS,747.0,Ciudad de México,CDMX,Activo,App
CLI_000061,Teresa,Leiva,CE,97623171,1988-09-13,2025-11-01 23:13:07,BAS,602.0,Ciudad de México,CDMX,Activo,App
CLI_000062,Manuel,Rico,CC,157746438,1987-08-17,2026-04-22 21:41:23,BAS,631.0,Lima,Lima,Activo,Campaña
CLI_000063,Gloria,Gómez,CE,670725160,2001-04-16,2026-02-26 07:51:40,BAS,539.0,Santiago,Metropolitana,Activo,Referido
CLI_000064,Shirley,Olmos,DNI,663780028,1970-06-21,2025-08-23 18:02:52,STD,530.0,Buenos Aires,CABA,Activo,Referido
CLI_000065,María,Narváez,CC,460784243,1965-03-12,2025-09-01 06:58:02,STD,731.0,Bogotá,Cundinamarca,Activo,App
CLI_000066,Antonio,Macías,DNI,585583372,1954-06-24,2025-07-14 01:16:13,BAS,785.0,Santiago,Metropolitana,Activo,Web
CLI_000067,Yamile,Cortés,CC,670146764,1989-02-06,2026-03-07 01:19:06,BAS,642.0,Santiago,Metropolitana,Activo,Web
CLI_000068,Javier,Varela,CE,82670118,1974-10-22,2026-02-14 00:23:21,PRM,750.0,Buenos Aires,CABA,Activo,App
CLI_000069,Hernán,Rojas,DNI,425410649,1973-12-21,2025-10-30 15:17:33,ELT,686.0,Bogotá,Cundinamarca,Activo,App
CLI_000070,Javier,Alzate,CC,796989426,1977-05-22,2025-10-17 16:21:22,STD,585.0,Lima,Lima,Activo,Referido
CLI_000071,José,López,CE,883498494,1988-08-19,2025-07-22 19:28:03,STD,,Buenos Aires,CABA,Activo,Campaña
CLI_000072,Elvia,Alvarado,CC,77753684,1989-06-11,2026-02-26 01:29:51,STD,803.0,Ciudad de México,CDMX,Inactivo,App
CLI_000073,David,Reséndez,CC,348868427,1964-08-14,2025-09-22 23:04:58,PRM,646.0,Ciudad de México,CDMX,Activo,Campaña
CLI_000074,Juan Carlos,Castillo,CE,393298103,2001-10-25,2025-09-07 09:03:19,PRM,,Ciudad de México,CDMX,Activo,Referido
CLI_000075,Bernabé,Torres,CE,965078872,1988-06-21,2025-09-15 02:33:48,BAS,388.0,Lima,Lima,Activo,Campaña
CLI_000076,Carlos,Hernández,DNI,544211672,1953-05-01,2025-10-10 16:03:01,BAS,732.0,Santiago,Metropolitana,Activo,Referido
CLI_000077,Bernardo,Ávila,CC,472360908,1989-02-20,2026-04-08 03:14:29,STD,658.0,Santiago,Metropolitana,Activo,Referido
CLI_000078,Yesid,Cardona,DNI,327440983,1998-08-05,2025-10-03 17:54:27,BAS,620.0,Lima,Lima,Activo,Campaña
CLI_000079,Sebastián,Pineda,CE,55478504,1999-02-18,2025-08-04 17:14:30,STD,659.0,Lima,Lima,Activo,Campaña
CLI_000080,Cristina,Ruiz,CC,730678212,1975-12-07,2025-09-15 15:02:29,STD,451.0,Bogotá,Cundinamarca,Activo,Web
CLI_000081,Juan Carlos,Gallegos,DNI,848927341,1958-06-12,2025-06-13 02:15:05,BAS,628.0,Buenos Aires,CABA,Activo,Web
CLI_000082,Andrés,Martínez,CE,619074302,1974-06-25,2026-03-30 08:17:21,BAS,685.0,Lima,Lima,Activo,Campaña
CLI_000083,René,Acosta,DNI,157848992,1973-01-04,2025-10-23 01:38:23,STD,797.0,Bogotá,Cundinamarca,Activo,Referido
CLI_000084,Guillermo,Montoya,DNI,209767568,1967-09-28,2025-09-05 22:32:57,BAS,598.0,Bogotá,Cundinamarca,Activo,App
CLI_000085,Nohora,Ordóñez,CC,666998124,1978-09-27,2025-09-10 15:56:07,BAS,569.0,Santiago,Metropolitana,Activo,Campaña
CLI_000086,Daniel,Villegas,CE,195388355,1989-03-20,2025-08-17 17:47:50,PRM,599.0,Bogotá,Cundinamarca,Activo,App
CLI_000087,Armando,Hernández,DNI,383045064,2003-01-09,2026-04-11 18:31:50,STD,741.0,Lima,Lima,Activo,Referido
CLI_000088,Lizeth,Rentería,DNI,771888313,1960-12-16,2026-05-13 03:48:48,PRM,682.0,Ciudad de México,CDMX,Activo,Referido
CLI_000089,Yaneth,Vargas,CC,264193540,1969-12-29,2025-12-15 13:56:50,STD,597.0,Ciudad de México,CDMX,Activo,Referido
CLI_000090,Jerónimo,Barrientos,CC,667074545,1977-09-12,2025-11-29 12:32:17,PRM,701.0,Buenos Aires,CABA,Activo,Campaña
CLI_000091,Elvira,Corral,CE,835884151,1994-03-02,2026-03-06 10:18:19,BAS,659.0,Buenos Aires,CABA,Activo,Web
CLI_000092,Ramón,Rivero,CE,740261466,1957-09-27,2025-10-02 02:54:43,STD,746.0,Santiago,Metropolitana,Activo,Web
CLI_000093,Samuel,Dávila,DNI,987869850,1994-11-25,2026-03-26 04:14:36,PRM,579.0,Santiago,Metropolitana,Activo,Web
CLI_000094,Hugo,Medina,DNI,252096876,1956-09-09,2025-09-27 02:38:46,BAS,617.0,Lima,Lima,Inactivo,Referido
CLI_000095,Benjamín,Gaitán,DNI,601461470,1954-10-29,2026-04-25 12:40:25,BAS,610.0,Ciudad de México,CDMX,Activo,App
CLI_000096,Javier,Durán,DNI,175564833,1996-08-08,2025-12-13 04:19:16,BAS,503.0,Buenos Aires,CABA,Activo,Referido
CLI_000097,María,Pinto,CC,97212377,1979-10-07,2026-04-24 04:56:55,BAS,679.0,Bogotá,Cundinamarca,Activo,Referido
CLI_000098,Fernando,Toro,CE,673688866,1975-07-26,2026-02-08 20:58:16,STD,676.0,Buenos Aires,CABA,Activo,Referido
CLI_000099,David,Restrepo,CC,874027324,1960-08-20,2026-02-05 07:00:34,STD,650.0,Santiago,Metropolitana,Activo,Campaña
CLI_000100,Asunción,Rangel,CE,456270451,1969-02-11,2025-06-29 08:09:28,BAS,626.0,Ciudad de México,CDMX,Activo,Web
CLI_000101,Mary,Gaitán,DNI,934252660,1993-12-12,2025-09-30 09:28:48,BAS,508.0,Lima,Lima,Activo,Referido
CLI_000102,Orlando,Castro,CC,510871106,1978-09-12,2025-12-17 23:57:45,BAS,607.0,Lima,Lima,Activo,Web
CLI_000103,Arturo,Palomo,DNI,458968760,1982-08-28,2025-07-08 14:21:00,BAS,615.0,Santiago,Metropolitana,Activo,Web
CLI_000104,Martín,Cardona,DNI,345775088,1982-08-15,2026-04-12 22:09:47,BAS,569.0,Buenos Aires,CABA,Activo,Campaña
CLI_000105,Leticia,Malave,CC,106689473,1955-10-26,2025-12-11 16:46:38,PRM,633.0,Santiago,Metropolitana,Activo,Web
CLI_000106,Manuela,Romero,CC,312104065,1977-11-14,2025-08-23 13:17:28,BAS,690.0,Bogotá,Cundinamarca,Activo,Campaña
CLI_000107,Ángela,Mata,CE,153811545,1966-02-18,2025-09-19 23:22:04,PRM,838.0,Bogotá,Cundinamarca,Activo,Campaña
CLI_000108,Elisa,Roybal,DNI,613246271,1993-07-04,2025-10-21 02:47:00,BAS,,Bogotá,Cundinamarca,Activo,App
CLI_000109,Domingo,Lucio,CE,896171278,1992-06-12,2025-10-29 01:01:55,ELT,675.0,Buenos Aires,CABA,Activo,App
CLI_000110,María,Lara,CE,863514394,1971-05-09,2025-07-20 23:13:46,ELT,642.0,Santiago,Metropolitana,Activo,Referido
CLI_000111,Jhon,Salas,DNI,440986098,2006-12-06,2026-03-21 04:47:07,STD,458.0,Buenos Aires,CABA,Activo,Web
CLI_000112,Yuly,Herrera,DNI,500687732,2001-01-14,2026-03-05 03:09:29,BAS,647.0,Santiago,Metropolitana,Activo,Web
CLI_000113,Martha,Pacheco,CC,431931770,1965-01-23,2025-10-06 08:51:47,ELT,656.0,Lima,Lima,Activo,Referido
CLI_000114,Cornelio,Valladares,DNI,535968839,1954-09-19,2026-01-17 13:54:53,STD,850.0,Buenos Aires,CABA,Activo,App
CLI_000115,Caridad,Calderón,CE,636745401,1955-05-12,2025-10-22 01:20:37,BAS,630.0,Bogotá,Cundinamarca,Activo,App
CLI_000116,Gina,Jiménez,DNI,254322679,1995-05-31,2026-01-18 19:36:03,STD,680.0,Buenos Aires,CABA,Activo,Web
CLI_000117,Santiago,Franco,CE,168672959,1968-02-18,2025-12-21 14:11:58,STD,646.0,Buenos Aires,CABA,Activo,App
CLI_000118,Cristina,Delgadillo,CE,172598077,1965-10-08,2025-08-14 02:14:19,BAS,,Lima,Lima,Activo,Campaña
CLI_000119,Gina,Jiménez,DNI,158264937,1959-07-02,2026-05-05 23:15:02,STD,764.0,Bogotá,Cundinamarca,Activo,Campaña
CLI_000120,Diego,García,CE,989385858,1967-02-17,2025-12-22 01:48:07,STD,725.0,Ciudad de México,CDMX,Activo,Referido
CLI_000121,Luz,Tovar,CE,609240979,2004-01-04,2026-01-23 22:19:33,BAS,729.0,Ciudad de México,CDMX,Inactivo,Referido
CLI_000122,Pablo,Balderas,DNI,766975382,1987-12-26,2026-03-27 11:51:54,BAS,559.0,Ciudad de México,CDMX,Activo,Referido
CLI_000123,Melissa,Pacheco,CE,971815464,1996-05-23,2025-09-20 18:23:29,ELT,790.0,Buenos Aires,CABA,Activo,Web
CLI_000124,Francy,Preciado,CE,484997731,2005-02-04,2025-09-21 19:12:53,STD,,Bogotá,Cundinamarca,Activo,Web
CLI_000125,Aurora,Velásquez,DNI,757508242,1985-06-08,2025-08-18 11:24:37,BAS,708.0,Lima,Lima,Activo,Web
CLI_000126,Carlos,Rodrígez,CC,694987769,2008-05-24,2025-09-03 03:52:21,BAS,850.0,Buenos Aires,CABA,Activo,Referido
CLI_000127,Rocío,Acevedo,CC,600936560,2003-07-22,2026-03-06 14:15:42,ELT,550.0,Ciudad de México,CDMX,Activo,Campaña
CLI_000128,Doris,Ruiz,CE,316462391,2006-08-17,2025-12-03 10:08:33,STD,593.0,Lima,Lima,Activo,App
CLI_000129,Elsa,Gutiérrez,DNI,786441691,2000-03-03,2026-02-09 07:51:53,PRM,659.0,Buenos Aires,CABA,Activo,Web
CLI_000130,María Elena,Mascareñas,CC,907866344,1997-08-10,2025-11-10 06:58:13,BAS,599.0,Ciudad de México,CDMX,Activo,Referido
CLI_000131,Wilson,Torres,DNI,657233283,1969-03-03,2026-05-07 11:50:19,BAS,,Lima,Lima,Bloqueado,Referido
CLI_000132,Norma,Trujillo,DNI,540334421,1974-05-22,2025-11-24 10:50:25,PRM,656.0,Buenos Aires,CABA,Activo,Campaña
CLI_000133,Emilia,Caicedo,CE,184476883,1986-09-11,2025-09-14 23:01:33,STD,543.0,Bogotá,Cundinamarca,Activo,Web
CLI_000134,Paola,Covarrubias,DNI,734132709,1975-10-31,2025-06-06 11:16:27,STD,697.0,Lima,Lima,Activo,Campaña
CLI_000135,Andrea,Riojas,CC,440391423,1982-05-15,2026-04-18 04:06:13,STD,558.0,Lima,Lima,Activo,Web
CLI_000136,Modesto,Palacios,CC,290016058,1987-12-27,2025-12-03 10:11:41,BAS,804.0,Ciudad de México,CDMX,Activo,Referido
CLI_000137,Aurelio,Reyes,CC,290840558,1974-07-09,2025-10-07 00:19:49,STD,571.0,Buenos Aires,CABA,Activo,App
CLI_000138,Ángela,Perdomo,CC,445312769,1972-09-01,2026-02-15 08:13:03,STD,617.0,Lima,Lima,Inactivo,Referido
CLI_000139,Leonardo,Bonilla,CE,669949050,1970-02-18,2026-02-24 01:58:21,BAS,731.0,Lima,Lima,Inactivo,Campaña
CLI_000140,Andrés,Quintero,CE,456510829,2000-08-09,2025-07-30 11:47:34,STD,526.0,Buenos Aires,CABA,Activo,Web
CLI_000141,Gabriel,Vázquez,CC,574258474,1976-10-30,2026-03-23 21:02:46,BAS,672.0,Buenos Aires,CABA,Activo,App
CLI_000142,María,Rueda,DNI,979468776,1963-12-20,2026-05-23 05:20:25,STD,780.0,Bogotá,Cundinamarca,Activo,Web
CLI_000143,Miguel Ángel,Castro,CE,134811770,1972-10-24,2025-08-03 21:35:50,STD,489.0,Buenos Aires,CABA,Activo,Campaña
CLI_000144,Diana,Rodríguez,CC,496869229,2000-11-11,2025-07-06 07:38:15,BAS,668.0,Santiago,Metropolitana,Activo,App
CLI_000145,Antonio,Ocampo,DNI,33375849,1974-03-14,2026-01-04 00:22:02,BAS,675.0,Lima,Lima,Activo,Web
CLI_000146,Jesús,Melo,CE,762032540,1970-01-21,2026-01-11 14:15:06,BAS,728.0,Santiago,Metropolitana,Bloqueado,App
CLI_000147,Alfredo,Barrientos,CE,203253475,2005-10-05,2026-05-29 15:25:08,STD,526.0,Lima,Lima,Activo,Campaña
CLI_000148,Leider,Puente,CE,943747670,1987-01-11,2025-10-24 10:13:43,PRM,517.0,Santiago,Metropolitana,Activo,App
CLI_000149,María,Luna,CC,711726890,1994-07-10,2026-02-21 03:30:29,PRM,702.0,Buenos Aires,CABA,Activo,Campaña
CLI_000150,Guadalupe,Rivera,CC,821941471,1953-02-01,2025-12-23 09:10:11,BAS,679.0,Ciudad de México,CDMX,Activo,Campaña
CLI_000151,Carlos,de la Rosa,CC,504592624,1964-08-01,2025-12-24 13:58:50,BAS,675.0,Ciudad de México,CDMX,Activo,App
CLI_000152,David,Salinas,DNI,832543647,1954-12-31,2025-06-13 12:17:13,PRM,684.0,Santiago,Metropolitana,Activo,Web
CLI_000153,Matilde,Rivero,CC,489362443,1963-11-20,2025-08-20 00:49:11,STD,581.0,Buenos Aires,CABA,Activo,App
CLI_000154,Antonia,Garcés,CE,261619881,1989-09-21,2025-09-04 01:05:15,STD,673.0,Santiago,Metropolitana,Activo,App
CLI_000155,Eduardo,Meza,CC,885943821,1987-06-24,2025-07-25 10:09:29,PRM,679.0,Lima,Lima,Activo,Referido
CLI_000156,Sandra,Córdoba,DNI,569689063,2008-05-20,2025-09-01 00:06:20,BAS,578.0,Ciudad de México,CDMX,Activo,App
CLI_000157,María,Castro,DNI,738802398,2007-12-31,2026-01-03 04:59:20,BAS,836.0,Ciudad de México,CDMX,Activo,Referido
CLI_000158,Hernán,Guevara,CE,757655456,2003-03-28,2026-02-05 20:08:25,BAS,697.0,Buenos Aires,CABA,Activo,Campaña
CLI_000159,Marina,Henríquez,CC,921972883,1985-08-18,2025-08-11 09:52:34,BAS,530.0,Santiago,Metropolitana,Activo,Web
CLI_000160,Horacio,Gómez,DNI,453109075,1986-11-10,2026-04-09 22:22:41,PRM,715.0,Bogotá,Cundinamarca,Activo,Web
CLI_000161,Gustavo,Cano,CE,704395127,1992-11-24,2025-10-29 20:19:40,BAS,552.0,Ciudad de México,CDMX,Activo,Referido
CLI_000162,Andrés,Serrano,CC,298258432,1962-01-24,2025-07-06 21:49:36,BAS,728.0,Ciudad de México,CDMX,Activo,App
CLI_000163,Fidel,Cano,DNI,730964511,2003-06-09,2026-05-06 06:43:58,STD,765.0,Buenos Aires,CABA,Activo,Referido
CLI_000164,Uriel,Gastélum,CC,214036387,1997-01-24,2025-09-26 17:55:01,PRM,567.0,Bogotá,Cundinamarca,Activo,Campaña
CLI_000165,Andrea,Rodríguez,DNI,229594317,2006-07-10,2026-05-22 03:12:38,BAS,746.0,Buenos Aires,CABA,Activo,Referido
CLI_000166,Juan,González,DNI,706559239,1976-10-18,2026-03-29 04:18:47,BAS,691.0,Santiago,Metropolitana,Activo,Campaña
CLI_000167,Albeiro,Barajas,CE,991754902,1977-10-07,2025-11-28 23:28:21,BAS,732.0,Santiago,Metropolitana,Activo,App
CLI_000168,Jesús,Cintrón,CC,290004069,2003-03-02,2026-01-05 11:06:37,STD,839.0,Ciudad de México,CDMX,Activo,Campaña
CLI_000169,Reinel,Calderón,CC,417849850,2005-04-21,2025-09-23 15:23:29,STD,625.0,Lima,Lima,Activo,Referido
CLI_000170,Julia,Arias,DNI,699014168,2001-11-18,2025-09-08 22:27:33,STD,574.0,Santiago,Metropolitana,Activo,Referido
CLI_000171,Linda,Saiz,CE,207619784,1984-06-26,2025-08-05 17:40:14,PRM,561.0,Buenos Aires,CABA,Activo,App
CLI_000172,María,Rojas,DNI,62091933,2004-11-19,2025-12-21 11:30:57,STD,,Bogotá,Cundinamarca,Activo,Web
CLI_000173,Diana,Vásquez,CC,553026584,2005-07-21,2025-06-27 09:30:25,BAS,642.0,Bogotá,Cundinamarca,Activo,Campaña
CLI_000174,Liliana,Rentería,DNI,602322761,1953-12-06,2026-02-12 00:58:31,BAS,684.0,Bogotá,Cundinamarca,Activo,Referido
CLI_000175,Amador,Vargas,DNI,883120912,1988-11-10,2025-12-26 01:26:27,STD,677.0,Bogotá,Cundinamarca,Activo,Web
CLI_000176,Ángela,Villa,CC,268738317,1996-01-25,2025-07-12 13:27:55,BAS,732.0,Buenos Aires,CABA,Activo,Referido
CLI_000177,Isaac,Ybarra,CE,445968611,1997-07-30,2025-09-12 19:38:49,BAS,651.0,Bogotá,Cundinamarca,Activo,Web
CLI_000178,Catalina,Vera,DNI,931505800,1966-07-03,2025-09-25 11:57:58,STD,795.0,Bogotá,Cundinamarca,Activo,Campaña
CLI_000179,César,Muñiz,CC,693703040,1988-10-05,2025-10-26 06:59:48,BAS,623.0,Santiago,Metropolitana,Activo,Campaña
CLI_000180,Delia,Martínez,DNI,931227867,1984-07-28,2026-04-25 07:02:41,ELT,850.0,Lima,Lima,Activo,App
CLI_000181,Martín,Castaño,CE,301086098,1980-12-07,2025-08-29 05:34:44,BAS,712.0,Buenos Aires,CABA,Activo,Referido
CLI_000182,Sessa,Soliz,CC,923139681,1976-08-20,2026-05-16 06:11:31,BAS,564.0,Bogotá,Cundinamarca,Inactivo,Web
CLI_000183,Anel,Sanabria,CC,331346113,1976-12-26,2026-03-20 03:31:11,BAS,542.0,Santiago,Metropolitana,Activo,Campaña
CLI_000184,Alejandro,García,CE,821329267,1990-03-19,2026-02-18 22:25:23,STD,698.0,Lima,Lima,Activo,App
CLI_000185,Andrés,Laureano,CC,114889313,1969-02-06,2025-12-12 11:43:39,BAS,627.0,Lima,Lima,Activo,Referido
CLI_000186,Valeria,López,CE,840598266,1972-07-06,2026-01-22 00:34:53,BAS,721.0,Buenos Aires,CABA,Activo,Campaña
CLI_000187,Luis Manuel,Campo,CE,473693201,1999-11-19,2025-12-08 12:45:20,BAS,697.0,Buenos Aires,CABA,Activo,Campaña
CLI_000188,Fanny,Marroquín,CC,775694462,1970-01-29,2025-07-04 06:43:37,BAS,642.0,Lima,Lima,Activo,Campaña
CLI_000189,Katherine,Rojo,DNI,428353415,1968-07-18,2026-03-04 09:18:42,BAS,565.0,Ciudad de México,CDMX,Activo,App
CLI_000190,Aurelio,López,CC,152278314,1955-09-17,2025-09-28 17:15:39,BAS,498.0,Lima,Lima,Activo,Campaña
CLI_000191,Rodrigo,Camacho,DNI,109926988,1997-07-03,2025-07-11 02:45:35,STD,,Lima,Lima,Activo,Campaña
CLI_000192,Gabriel,Loera,CC,788295151,1970-12-05,2025-06-05 19:01:22,PRM,735.0,Santiago,Metropolitana,Activo,Web
CLI_000193,Cristal,Torres,CC,159078381,1970-10-25,2026-01-09 03:03:27,BAS,671.0,Santiago,Metropolitana,Activo,Web
CLI_000194,Martha,Córdoba,CE,331856529,1970-09-23,2025-06-25 13:41:33,BAS,525.0,Lima,Lima,Activo,Referido
